Polymer  	P0        	V0        	T0   	Tmin 	Tmax 	Pmin     	Pmax
HDPE     	2.804E+09 	1.038E-03 	1211 	 415 	 473 	0.00E+00 	2.00E+08
HDPE     	1.968E+09 	1.116E-03 	1582 	 413 	 476 	0.00E+00 	1.96E+08
HMLPE    	3.212E+09 	1.026E-03 	1135 	 410 	 473 	0.00E+00 	2.00E+08
BPE      	2.510E+09 	1.068E-03 	1313 	 398 	 471 	0.00E+00 	2.00E+08
LDPE     	2.816E+09 	1.042E-03 	1212 	 394 	 448 	0.00E+00 	1.96E+08
LDPE-A   	4.299E+08 	9.236E-04 	 603 	 385 	 498 	0.00E+00 	1.96E+08
LDPE-B   	4.214E+08 	9.193E-04 	 610 	 385 	 498 	0.00E+00 	1.96E+08
LDPE-C   	4.318E+08 	9.229E-04 	 606 	 385 	 498 	0.00E+00 	1.96E+08
PIB      	2.976E+09 	9.935E-04 	1422 	 326 	 383 	0.00E+00 	1.00E+08
i-PP     	1.852E+09 	1.107E-03 	1475 	 443 	 570 	0.00E+00 	1.96E+08
a-PP     	2.383E+09 	1.029E-03 	1197 	 353 	 393 	0.00E+00 	1.00E+08
i-PB     	2.060E+09 	1.082E-03 	1452 	 406 	 519 	0.00E+00 	1.96E+08
PMP      	1.671E+09 	1.123E-03 	1449 	 514 	 592 	0.00E+00 	1.96E+08
i-PMMA   	4.180E+09 	7.419E-04 	1403 	 328 	 463 	0.00E+00 	2.00E+08
PMMA     	3.819E+09 	7.582E-04 	1467 	 387 	 432 	0.00E+00 	2.00E+08
PCHMA    	3.038E+09 	8.249E-04 	1517 	 321 	 471 	0.00E+00 	2.00E+08
PNBMA    	3.268E+09 	8.552E-04 	1309 	 307 	 473 	0.00E+00 	2.00E+08
PS       	2.956E+09 	8.754E-04 	1603 	 388 	 469 	0.00E+00 	2.00E+08
POMS     	3.096E+09 	8.891E-04 	1608 	 412 	 471 	0.00E+00 	1.80E+08
PVAC     	3.817E+09 	7.368E-04 	1151 	 337 	 393 	0.00E+00 	1.00E+08
PDMS     	1.837E+09 	8.795E-04 	1006 	 298 	 343 	0.00E+00 	1.00E+08
PDMS3    	1.789E+09 	9.053E-04 	 868 	 298 	 343 	0.00E+00 	9.00E+08
PDMS10   	1.861E+09 	9.004E-04 	 920 	 298 	 343 	0.00E+00 	9.00E+08
PDMS20   	1.908E+09 	8.839E-04 	 941 	 298 	 343 	0.00E+00 	9.00E+08
PDMS100  	1.980E+09 	8.709E-04 	 953 	 298 	 343 	0.00E+00 	9.00E+08
PDMS350  	1.928E+09 	8.715E-04 	 975 	 298 	 343 	0.00E+00 	9.00E+08
PDMS1000 	1.925E+09 	8.716E-04 	 977 	 298 	 343 	0.00E+00 	9.00E+08
PTFE     	3.251E+09 	3.683E-04 	 900 	 603 	 645 	0.00E+00 	3.90E+08
PSF      	3.972E+09 	7.246E-04 	1623 	 475 	 644 	0.00E+00 	1.96E+08
PBD      	3.333E+09 	9.855E-04 	1199 	 277 	 328 	0.00E+00 	2.83E+08
PEO      	3.504E+09 	8.005E-04 	1254 	 361 	 497 	0.00E+00 	6.80E+07
PTHF     	2.894E+09 	9.165E-04 	1276 	 335 	 439 	0.00E+00 	7.80E+07
PET      	4.071E+09 	6.802E-04 	1484 	 547 	 615 	0.00E+00 	1.96E+08
PBT      	4.174E+09 	7.096E-04 	1357 	 508 	 576 	0.00E+00 	2.00E+08
POM      	4.056E+09 	6.994E-04 	1370 	 462 	 492 	0.00E+00 	1.96E+08
PPO      	3.079E+09 	7.906E-04 	1339 	 476 	 593 	0.00E+00 	1.76E+08
PC       	3.644E+09 	7.474E-04 	1502 	 424 	 613 	0.00E+00 	1.76E+08
PAR      	3.709E+09 	7.408E-04 	1614 	 450 	 583 	0.00E+00 	1.76E+08
PH       	4.357E+09 	7.784E-04 	1481 	 341 	 573 	0.00E+00 	1.76E+08
PEEK     	3.668E+09 	7.044E-04 	1568 	 619 	 671 	0.00E+00 	2.00E+08
PVC      	3.595E+09 	6.559E-04 	1532 	 373 	 423 	0.00E+00 	2.00E+08
PA6      	2.264E+09 	7.654E-04 	2255 	 509 	 569 	0.00E+00 	1.96E+08
PA66     	2.453E+09 	7.559E-04 	1643 	 519 	 571 	0.00E+00 	1.96E+08
PA66     	4.678E+09 	8.144E-04 	1423 	 533 	 573 	0.00E+00 	1.00E+08
PVME     	3.245E+09 	8.836E-04 	1342 	 303 	 471 	0.00E+00 	2.00E+08
PMA      	3.680E+09 	7.712E-04 	1334 	 310 	 493 	0.00E+00 	1.96E+08
PEA      	3.076E+09 	8.038E-04 	1284 	 310 	 490 	0.00E+00 	1.96E+08
PEMA     	3.654E+09 	7.976E-04 	1298 	 386 	 434 	0.00E+00 	1.96E+08
TMPC     	2.907E+09 	8.010E-04 	1430 	 491 	 563 	0.00E+00 	1.60E+08
HFPC     	2.920E+09 	5.758E-04 	1306 	 432 	 553 	0.00E+00 	2.00E+08
BCPC     	3.641E+09 	5.356E-04 	1520 	 428 	 557 	0.00E+00 	2.00E+08
PECH     	3.775E+09 	6.734E-04 	1456 	 333 	 413 	0.00E+00 	2.00E+08
PCL      	3.013E+09 	8.418E-04 	1411 	 373 	 421 	0.00E+00 	2.00E+08
