Polymer 	P0        	V0        	T0  	Tmin 	Tmax 	Pmin     	Pmax
HDPE    	4.798E+08 	1.073E-03 	596 	 415 	 473 	0.00E+00 	2.00E+08
HDPE    	3.662E+08 	1.095E-03 	615 	 413 	 476 	0.00E+00 	1.96E+08
HMLPE   	5.235E+08 	1.082E-03 	594 	 410 	 473 	0.00E+00 	2.00E+08
BPE     	4.113E+08 	1.088E-03 	601 	 398 	 471 	0.00E+00 	2.00E+08
LDPE    	4.679E+08 	1.071E-03 	577 	 394 	 448 	0.00E+00 	1.96E+08
LDPE-A  	4.299E+08 	1.083E-03 	603 	 385 	 498 	0.00E+00 	1.96E+08
LDPE-B  	4.214E+08 	1.088E-03 	610 	 385 	 498 	0.00E+00 	1.96E+08
LDPE-C  	4.318E+08 	1.084E-03 	606 	 385 	 498 	0.00E+00 	1.96E+08
PIB     	3.504E+08 	1.021E-03 	623 	 326 	 383 	0.00E+00 	1.00E+08
i-PP    	3.664E+08 	1.096E-03 	633 	 443 	 570 	0.00E+00 	1.96E+08
a-PP    	3.542E+08 	1.066E-03 	570 	 353 	 393 	0.00E+00 	1.00E+08
i-PP    	3.775E+08 	1.074E-03 	609 	 406 	 519 	0.00E+00 	1.96E+08
PMP     	3.557E+08 	1.115E-03 	650 	 514 	 592 	0.00E+00 	1.96E+08
PMMA    	5.169E+08 	7.805E-04 	668 	 387 	 432 	0.00E+00 	2.00E+08
PCHMA   	4.101E+08 	8.444E-04 	675 	 321 	 471 	0.00E+00 	2.00E+08
PNBMA   	4.421E+08 	8.789E-04 	596 	 307 	 473 	0.00E+00 	2.00E+08
PS      	3.715E+08 	8.929E-04 	688 	 388 	 469 	0.00E+00 	2.00E+08
POMS    	4.057E+08 	9.142E-04 	725 	 412 	 471 	0.00E+00 	1.80E+08
PVAC    	5.013E+08 	7.768E-04 	582 	 337 	 393 	0.00E+00 	1.00E+08
PDMS    	2.885E+08 	9.022E-04 	466 	 298 	 343 	0.00E+00 	1.00E+08
PTFE    	3.572E+08 	4.515E-04 	630 	 603 	 645 	0.00E+00 	3.90E+08
PSF     	6.353E+08 	7.496E-04 	787 	 475 	 644 	0.00E+00 	1.96E+08
PBD     	4.402E+08 	9.851E-04 	462 	 277 	 328 	0.00E+00 	2.83E+08
PEO     	4.922E+08 	8.492E-04 	656 	 361 	 497 	0.00E+00 	6.80E+07
PTHF    	3.856E+08 	9.652E-04 	645 	 335 	 439 	0.00E+00 	7.80E+07
PET     	7.261E+08 	7.102E-04 	761 	 547 	 615 	0.00E+00 	1.96E+08
PPO     	5.541E+08 	8.220E-04 	681 	 476 	 593 	0.00E+00 	1.76E+08
PC      	5.744E+08 	7.737E-04 	728 	 424 	 613 	0.00E+00 	1.76E+08
PAR     	5.687E+08 	7.632E-04 	760 	 450 	 583 	0.00E+00 	1.76E+08
PH      	6.074E+08 	8.032E-04 	690 	 341 	 573 	0.00E+00 	1.76E+08
PEEK    	7.130E+08 	7.310E-04 	804 	 619 	 671 	0.00E+00 	2.00E+08
PVC     	4.690E+08 	6.686E-04 	656 	 373 	 423 	0.00E+00 	2.00E+08
PA6     	4.225E+08 	7.406E-04 	785 	 509 	 569 	0.00E+00 	1.96E+08
PA66    	5.173E+08 	7.502E-04 	713 	 519 	 571 	0.00E+00 	1.96E+08
PVME    	4.630E+08 	8.930E-04 	567 	 303 	 471 	0.00E+00 	2.00E+08
PMA     	5.219E+08 	7.908E-04 	606 	 310 	 493 	0.00E+00 	1.96E+08
PEA     	4.506E+08 	8.216E-04 	581 	 310 	 490 	0.00E+00 	1.96E+08
PEMA    	5.675E+08 	8.189E-04 	602 	 386 	 434 	0.00E+00 	1.96E+08
TMPC    	4.324E+08 	8.493E-04 	752 	 491 	 563 	0.00E+00 	1.60E+08
HFPC    	4.554E+08 	6.077E-04 	680 	 432 	 553 	0.00E+00 	2.00E+08
BCPC    	5.136E+08 	6.651E-04 	753 	 428 	 557 	0.00E+00 	2.00E+08
PECH    	4.824E+08 	6.803E-04 	606 	 333 	 413 	0.00E+00 	2.00E+08
PCL     	4.534E+08 	8.477E-04 	589 	 373 	 421 	0.00E+00 	2.00E+08
        	          	          	    	     	     	         	
        	          	          	    	     	     	         	
        	          	          	    	     	     	         	
        	          	          	    	     	     	         	
        	          	          	    	     	     	         	
        	          	          	    	     	     	         	
