Polymer  	A0         	A1         	A2          	B0         	B1         	Pmin 	Pmax 	Tmin 	Tmax
BR       	1.0969E-03 	7.6789E-07 	-2.2216E-10 	1.7596E+08 	4.3355E-03 	 0.1 	 283 	 277 	 328
HDPE     	1.1567E-03 	6.2888E-07 	1.1268E-09  	1.7867E+08 	4.7254E-03 	 0.1 	 200 	 415 	 472
HMDS     	1.2727E-03 	1.6849E-06 	4.3376E-09  	5.8910E+07 	1.1203E-02 	 0   	 900 	 298 	 343
i-PB     	1.1561E-03 	6.1015E-07 	8.3234E-10  	1.8382E+08 	4.7833E-03 	 0   	 196 	 407 	 514
i-PMMA   	7.9770E-04 	5.5274E-07 	-1.4503E-10 	2.9210E+08 	4.1960E-03 	 0.1 	 200 	 328 	 463
i-PP     	1.2033E-03 	4.8182E-07 	7.7589E-10  	1.4236E+08 	4.0184E-03 	 0   	 196 	 447 	 571
LDPE     	1.1004E-03 	1.4557E-06 	-1.5749E-09 	1.7598E+08 	4.6677E-03 	 0.1 	 200 	 398 	 471
LLDPE    	1.1105E-03 	1.2489E-06 	-4.0642E-10 	1.7255E+08 	4.4256E-03 	 0.1 	 200 	 420 	 473
PA       	7.8153E-04 	3.6134E-07 	2.7519E-10  	3.4019E+08 	3.8021E-03 	 0   	 177 	 455 	 588
PBMA     	9.3282E-04 	5.7856E-07 	5.7343E-10  	2.2569E+08 	5.3116E-03 	 0.1 	 200 	 295 	 473
PC       	7.9165E-04 	4.4201E-07 	2.8583E-10  	3.1268E+08 	3.9728E-03 	 0   	 177 	 430 	 610
PCHMA    	8.7410E-04 	4.9035E-07 	3.2707E-10  	3.0545E+08 	5.5030E-03 	 0.1 	 200 	 383 	 472
PDMS     	1.0122E-03 	7.7266E-07 	1.9944E-09  	8.7746E+07 	6.2560E-03 	 0   	 100 	 298 	 343
PDMS3    	1.0736E-03 	1.2837E-06 	1.4565E-10  	7.3947E+07 	8.0773E-03 	 0   	 900 	 298 	 343
PDMS10   	1.0536E-03 	1.1041E-06 	4.6289E-10  	8.1208E+07 	7.1257E-03 	 0   	 900 	 298 	 343
PDMS20   	1.0271E-03 	1.1054E-06 	-2.7259E-10 	8.5511E+07 	6.7944E-03 	 0   	 900 	 298 	 343
PDMS100  	1.0095E-03 	1.0662E-06 	-3.6476E-10 	8.8352E+07 	6.3228E-03 	 0   	 900 	 298 	 343
PDMS350  	1.0056E-03 	1.0003E-06 	1.2039E-11  	9.0488E+07 	6.4221E-03 	 0   	 900 	 298 	 343
PDMS1000 	1.0076E-03 	9.1603E-07 	8.2159E-10  	8.9137E+07 	6.3938E-03 	 0   	 900 	 298 	 343
PHENOXY  	8.3796E-04 	3.6449E-07 	5.2933E-10  	3.5434E+08 	4.3649E-03 	 0   	 177 	 349 	 574
PIB      	1.0890E-03 	2.5554E-07 	2.2682E-09  	1.9410E+08 	3.9995E-03 	 0   	 100 	 326 	 383
IM1A     	8.2396E-04 	3.0490E-07 	7.0201E-10  	2.9803E+08 	4.3789E-03 	 0.1 	 200 	 387 	 432
PMP      	1.2078E-03 	5.1461E-07 	9.7366E-10  	1.4978E+08 	4.6302E-03 	 0   	 196 	 514 	 592
POM      	8.3198E-04 	2.7550E-07 	2.2000E-09  	3.1030E+08 	4.4652E-03 	 0   	 196 	 462 	 492
PoMS     	9.3905E-04 	5.1288E-07 	5.9157E-11  	2.4690E+08 	3.6633E-03 	 0.1 	 180 	 413 	 471
PS       	9.3805E-04 	3.3086E-07 	6.6910E-10  	2.5001E+08 	4.1815E-03 	 0.1 	 200 	 389 	 469
PTFE     	4.6867E-04 	1.1542E-07 	1.1931E-09  	4.0910E+08 	9.2556E-03 	 0   	 392 	 604 	 646
PVAC     	8.2832E-04 	4.7205E-07 	1.1364E-09  	1.8825E+08 	3.8774E-03 	 0   	 100 	 337 	 393
